com.liferay.portal.model.User,bruno,-12,-12
com.liferay.portal.model.User,bruno,-11,-11
com.liferay.portal.model.User,bruno,-10,-10
com.liferay.portal.model.User,bruno,-9,-9
com.liferay.portal.model.User,bruno,-8,-8
com.liferay.portal.model.User,bruno,-7,-7
com.liferay.portal.model.User,bruno,-6,-6
com.liferay.portal.model.User,bruno,-5,-5
com.liferay.portal.model.User,bruno,-4,-4
com.liferay.portal.model.User,bruno,-3,-3
com.liferay.portal.model.User,bruno,-2,-2
com.liferay.portal.model.User,bruno,-1,-1
com.liferay.portal.model.User,bruno,0,0
com.liferay.portal.model.User,michelle,-12,-12
com.liferay.portal.model.User,michelle,-11,-11
com.liferay.portal.model.User,michelle,-10,-10
com.liferay.portal.model.User,michelle,-9,-9
com.liferay.portal.model.User,michelle,-8,-8
com.liferay.portal.model.User,michelle,-7,-7
com.liferay.portal.model.User,michelle,-6,-6
com.liferay.portal.model.User,michelle,-5,-5
com.liferay.portal.model.User,michelle,-4,-4
com.liferay.portal.model.User,michelle,-3,-3
com.liferay.portal.model.User,michelle,-2,-2
com.liferay.portal.model.User,michelle,-1,-1
com.liferay.portal.model.User,michelle,0,0
com.liferay.portal.model.User,richard,-12,-12
com.liferay.portal.model.User,richard,-11,-11
com.liferay.portal.model.User,richard,-10,-10
com.liferay.portal.model.User,richard,-9,-9
com.liferay.portal.model.User,richard,-8,-8
com.liferay.portal.model.User,richard,-7,-7
com.liferay.portal.model.User,richard,-6,-6
com.liferay.portal.model.User,richard,-5,-5
com.liferay.portal.model.User,richard,-4,-4
com.liferay.portal.model.User,richard,-3,-3
com.liferay.portal.model.User,richard,-2,-2
com.liferay.portal.model.User,richard,-1,-1
com.liferay.portal.model.User,richard,0,0
com.liferay.portal.model.User,kendra,-12,-12
com.liferay.portal.model.User,kendra,-11,-11
com.liferay.portal.model.User,kendra,-10,-10
com.liferay.portal.model.User,kendra,-9,-9
com.liferay.portal.model.User,kendra,-8,-8
com.liferay.portal.model.User,kendra,-7,-7
com.liferay.portal.model.User,kendra,-6,-6
com.liferay.portal.model.User,kendra,-5,-5
com.liferay.portal.model.User,kendra,-4,-4
com.liferay.portal.model.User,kendra,-3,-3
com.liferay.portal.model.User,kendra,-2,-2
com.liferay.portal.model.User,kendra,-1,-1
com.liferay.portal.model.User,kendra,0,0